# Destrova ITSM — Eksiklik Listesi

## KRİTİK — jBPM Entegrasyonu

| ID | Eksiklik | Öncelik | Açıklama |
|----|----------|---------|----------|
| J-01 | jBPM server Docker'da yok | 🔴 Kritik | `docker-compose.yml`'da `jbpm-server` servisi tanımlı değil |
| J-02 | Ticket oluşturunca jBPM process instance başlatılmıyor | 🔴 Kritik | `TicketService.createTicketForCustomer` içinde jBPM REST çağrısı yok |
| J-03 | Statü geçişleri jBPM üzerinden yönetilmiyor | 🔴 Kritik | `validateStatusTransition()` manuel Java kodu ile çalışıyor, jBPM BPMN diyagramı yok |
| J-04 | SLA timer'ları jBPM'de değil | 🔴 Kritik | `SlaNotificationScheduler` Spring scheduler ile çalışıyor, jBPM timer event'leri yok |
| J-05 | `/api/webhook/jbpm/sla-breach` endpoint'i yok | 🔴 Kritik | jBPM'in SLA ihlalinde çağıracağı webhook tanımlı değil |
| J-06 | Agent statü güncellemesi jBPM üzerinden değil | 🔴 Kritik | `updateTicketForUser` doğrudan DB'ye yazıyor, jBPM REST API kullanılmıyor |
| J-07 | Agent ticket devri jBPM'de yok | 🔴 Kritik | `transferAllTickets` sadece manager için, agent kendi ticket'ını devredemiyor |

## KRİTİK — GitHub Versiyon Kontrolü

| ID | Eksiklik | Öncelik | Açıklama |
|----|----------|---------|----------|
| G-01 | GitHub reposu boş | 🔴 Kritik | Tüm kod lokal duruyor, uzak sunucuda yok. Hiç commit atılmamış |
| G-02 | `.gitignore` eksik | 🔴 Kritik | `node_modules`, `target/` gibi dosyalar commit'e dahil olabilir |
| G-03 | Commit mesajları yok | 🔴 Kritik | Geçmişe dönük anlamlı commit'ler atılmamış |
| G-04 | Branch stratejisi yok | 🔴 Kritik | `main` branch dışında geliştirme branch'i yok |

## Backend — Ticket Yönetimi

| ID | Eksiklik | Öncelik | Açıklama |
|----|----------|---------|----------|
| B-01 | Agent ticket devri yok | 🔴 Kritik | Sadece manager `transferAllTickets` yapabiliyor, agent kendi ticket'ını devredemiyor |
| B-02 | Agent kapatma nedenleri yok | 🔴 Kritik | Agent RESOLVED yapıyor ama kapatma nedeni seçemiyor, sadece müşteri onayıyla kapanıyor |
| B-03 | Kapatma nedeni zorunluluğu yok | 🟡 Yüksek | Ticket kapatılırken neden seçilmesi zorunlu değil |
| B-04 | Kapatma sonrası açıklama yok | 🟡 Yüksek | Kapatma nedeni seçildikten sonra opsiyonel açıklama eklenemiyor |
| B-05 | Dosya limit kontrolü yok | 🟡 Yüksek | 5 dosya / 10MB sınırı kontrol edilmiyor |
| B-06 | Dosya türü validasyonu yok | 🟡 Yüksek | .jpg, .png, .pdf, .txt, .log, .zip dışındaki dosyalar engellenmiyor |
| B-07 | İş yükü limiti aşımında uyarı yok | 🟢 Orta | Agent limit aşımında sadece exception fırlatılıyor, anlamlı uyarı mesajı yok |
| B-08 | Full-text search yok | 🟢 Orta | Backend'de ticket içeriğinde ve yorumlarda arama yapılamıyor |
| B-09 | Sayfalama (pagination) yok | 🟢 Orta | Tüm ticket'lar toplu çekiliyor, client-side filtreleniyor |
| B-10 | E-posta şablonları yok | 🟡 Yüksek | E-postalar düz metin gidiyor, şablon tabanlı değil |
| B-11 | Müşteri kendi ticket'ını kapatamıyor | 🟢 Orta | Müşteri sadece onay/red yapabiliyor, kendi isteğiyle kapatamıyor |

## Backend — API Uç Noktası Uyumsuzlukları

| ID | Eksiklik | Öncelik | Açıklama |
|----|----------|---------|----------|
| B-12 | `POST /api/tickets` jBPM tetiklemiyor | 🔴 Kritik | Raporda "jBPM sürecini başlatır" yazıyor, jBPM olmadığı için çalışmıyor |
| B-13 | `PUT /api/tickets/{id}/transfer` eksik | 🔴 Kritik | Raporda tanımlı ama sadece manager toplu transfer endpoint'i var |
| B-14 | `PATCH /api/tickets/{id}/status` eksik | 🔴 Kritik | Raporda tanımlı ama `PUT /api/tickets/{id}` ile yapılıyor |
| B-15 | `GET /api/worklogs/reports` eksik | 🟡 Yüksek | Raporda tanımlı, sadece agent worklog summary var |
| B-16 | `PUT /api/settings/agent-limit` eksik | 🟢 Orta | Raporda tanımlı, farklı path'te var |

## Frontend — Customer Ekranı

| ID | Eksiklik | Öncelik | Açıklama |
|----|----------|---------|----------|
| F-01 | Arka plan gradient'i kötü | 🟡 Yüksek | My Tickets ve New Ticket sayfalarında 2 renkli gradient var, enterprise görünümden uzak |
